,sentence
44,"Apollo standing facing, head right, raising right arm above head, holding lyre set on tripod with left hand."
45,"Apollo standing facing, head left, wearing long garment, holding laurel-branch in outstretched right hand and lyre with left hand on a short column to his left."
46,"Nude Apollo standing facing, head right, holding plectrum in right hand and in left arm lyre which rests on tripod; tripod entwined by serpent. Ground line. Border of dots."
47,"Apollo (Bonus Eventus) standing facing, head left, holding patera in outstretched right hand over lighted altar and laurel-branch in left hand."
48,"Nude Apollo standing left, holding patera in outstretched right hand over altar and laurel-branch in left hand."
49,"Nude Apollo standing facing, head left, holding patera in outstretched right hand over altar and laurel-branch in lowered left hand."
50,"Nude Apollo standing facing, head left, left leg crossed over right, holding patera in outstretched right hand, left hand over serpent coiling around omphalos at his feet to right. Border of dots."
51,"Nude Apollo standing facing, head left, holding patera in outstretched right hand and laurel-branch in left hand. Border of dots."
52,"Nude Apollo standing facing, head left, holding laurel-branch in right hand and bow in left."
53,"Triumphal arch with garland between pillars surmounted by statuary group; emperor (Nero) in facing quadriga, escorted by Nike on left, standing facing, holding uncertain object in right hand and Pax on right, standing facing, holding cornucopia? in left arm; flanked by two soldiers on each column on both sides of the arch; Mars in niche on left side of arch."
54,"Nude Ares standing facing, head right, wearing crested helmet, holding inverted spear in right hand and parazonium in left arm."
55,"Ares standing facing, head right, wearing cuirass, boots and crested helmet, holding spear in right hand and parazonium in left hand."
56,"Nude Ares standing facing, head right, wearing helmet, holding spear in right hand, bow in left hand."
57,"Artemis advancing right, head left, wearing short chiton and boots, holding bow in left hand, drawing arrow with right hand from quiver at shoulder. Ground line."
58,"Artemis advancing right, wearing short chiton and boots, holding bow in left hand, drawing arrow with right hand from quiver at shoulder."
59,"Artemis standing right, wearing short fluttering chiton and boots, holding bow in left hand and drawing arrow from quiver at shoulder with right hand. Border of dots."
60,"Artemis advancing right, wearing short fluttering chiton and boots, holding bow in left hand and drawing arrow from quiver at shoulder with right hand; at her feet, hound running right."
61,"Artemis (Tauropolos) advancing right, hair bound at her neck, wearing short chiton, cloak and boots, holding almost horizontally a torch in each hand. Short ground line. Border of dots."
62,"Artemis advancing left, wearing long garment, holding in each hand short torch upwards."
63,"Artemis advancing right, wearing a short chiton and boots, holding short torch in each hand. Ground line."
64,"Diademed and draped bust of Artemis, right, bow and quiver at shoulder."
65,"Draped bust of Artemis, right, wearing hair knot; in front of her bow; behind her quiver."
66,"Artemis standing right, wearing long garment, holding two arrows in right hand and bow in left hand."
67,"Artemis standing facing, head right, wearing long garment and boots, holding short torch in right hand and bow in left hand; at her feet, hound, right, looking upwards to her. Border of dots."
68,"Artemis standing facing, head left, holding patera in outstretched right hand, left resting on long torch, with quiver over shoulder; hound at side to left; club to right."
69,"Artemis (Phosphorus) standing facing, head left, holding arrow in extended right hand and cradling long torch in left arm; at her feet, stag standing left."
70,"Artemis standing facing, head left, wearing short chiton and boots, holding patera in outstretched right hand and bow in left hand; at her feet, stag standing left."
71,"Artemis standing facing, head left, holding patera in outstretched right hand and torch in left arm; at her feet, stag standing right."
72,"Artemis standing facing, head left, wearing long garment, holding an arrow in right hand and torch in left arm."
73,"Artemis standing facing, head right, holding a torch in both hands."
74,"Asclepius reclining left, on winged serpent to right."
75,"Asclepius standing facing, head left, holding serpent-staff in left hand."
76,"Asclepius standing facing, head left, holding serpent-staff in right hand. Border of dots."
77,"Asclepius standing facing, head left, holding serpent-staff in right hand."
78,"Asclepius standing facing, head left, right arm leaning on serpent-staff, garment over left shoulder."
79,"Athena advancing right, wearing taenia and long garment, holding crested Corinthian helmet in right hand and transverse spear in left hand."
80,"Helmeted and draped bust of Athena, right."
81,"Head of Athena, right, wearing crested Corinthian helmet, decorated with serpent, a single-pendant earring and necklace."
82,"Head of Athena, right, wearing crested Corinthian helmet."
83,Helmeted head of Athena facing.
84,"Head of Athena, right, wearing helmet."
85,"Athena (Nikephoros) enthroned left, holding Nike in outstretched right hand; left arm resting on shield behind, decorated with gorgoneion; in background, transverse spear; in left field, monogram."
86,"Athena (Nikephoros) enthroned left, holding Nike in outstretched right hand; left arm resting on shield behind; in background, transverse spear; in inner left field, monogram."
87,"Athena (Nikephoros) enthroned left, holding Nike in outstretched right hand; transverse spear in background; left arm resting on shield behind; ornate trident in exergue; monogram to inner left and on throne."
88,"Athena (Nikephoros) enthroned left, wearing long garment and crested helmet, holding Nike, crowning king's name, in outstretched right hand; left arm resting on shield behind, decorated with gorgoneion; in background, transverse spear; in left field, herm."
89,"Athena (Nikephoros) enthroned left, holding Nike, crowning the king's name, in outstretched right hand; left arm resting on shield behind; in background, transverse spear; in inner left field, lion's head, left; on throne monogram."
90,"Athena (Nikephoros) enthroned left, holding Nike in outstretched right hand, left arm resting on shield behind; in background, transverse spear; in exergue, ornate trident to left; in inner left field, monogram; on throne, monogram."
91,"Athena (Nikephoros) enthroned left, holding Nike in outstretched right hand; left arm resting on shield behind; in exergue, trident."
92,"Athena (Nikephoros) seated left, holding Nike and spear; resting feet on footrest; shield behind."
93,"Athena enthroned left; throne decorated with Sphinx, left, front leg ends in lion’s paw; holding in right hand patera from which she feeds a serpent entwined around tree in front of her, leaning left arm on throne back; behind her, owl sitting left on a frontal shield."
94,"Athena seated left, wearing a Corinthian helmet, holding patera in outstretched right hand and spear in left hand; shield behind."
95,"Athena standing facing, head left, wearing a helmet and long garment, holding inverted spear in left hand and resting right hand on shield."
96,"Athena standing facing, head left, wearing Corinthian helmet, holding Nike in outstretched right hand and spear in left arm."
97,"Athena standing right, holding spear in right hand, resting left arm on shield set on the ground."
98,"Athena standing left, holding spear in right hand; on ground shield to right in background and owl to left, head facing."
99,"Athena standing facing, head left, wearing long garment and helmet; holding patera in outstretched right hand and inverted spear in left arm; at her feet, shield placed on ground."
100,"Athlete standing facing, head left, holding three apples? in right hand and discus in the left hand."
101,"Athlete standing facing, head right, crowning himself with right hand, holding laurel-branch in left arm."
102,"Nude Athlete standing left with spread legs; right leg in front, right hand outstretched before him, left arm outstretched behind him."
103,"Bare head of Augustus, left."
104,"Bare head of Augustus, right; in front of him monogram to right. Border of dots."
105,"Bare head of Augustus, right."
106,Basket of fruit.
107,"Bare-headed and draped bust of Britannicus, left."
108,"Bare-headed and draped bust of Britannicus, right."
109,"Bull standing right, butting with head."
110,"Bull's head and neck, left, head slightly facing. Border of dots."
111,"Bull's head, left; within incuse square."
112,"Bull standing left on dolphin, left, raising right forehoof."
113,"Bull standing left on dolphin, left, raising right forehoof. Border of dots."
114,"Head of bearded Byzas, right, wearing crested helmet with open visor. Border of dots."
115,"Caduceus, flanked by caps of the Dioscuri surmounted by stars; above, monogram."
116,Winged caduceus. Border of dots.
117,"Bare head of Caligula, left. Border of dots."
118,"Two-handled cup; below, ear of corn."
119,"Nude Capaneus advancing left, his left foot on a low wall; wearing helmet, holding spear in his right hand and shield and ladder in his left arm."
120,"Nude Capaneus advancing right, wearing helmet, holding spear in his right hand and shield and ladder in his left arm; his left foot on a low wall."
121,"Nude Capaneus advancing right, head left, wearing helmet, holding spear in his right hand and shield and ladder in his left arm; his left foot on a low wall."
122,Capricorn standing right. Border of dots.
123,"Capricorn standing right; above, cornucopia. Border of dots."
124,"Laureate and cuirassed bust of Caracalla, right, seen from behind."
125,"Laureate bust of Caracalla, left, seen from behind; with aegis on left shoulder."
126,"Laureate bust of bearded Caracalla, right, wearing cuirass and paludamentum, holding spear in right hand and shield in left arm decorated with gorgoneion."
127,"Laureate bust of Caracalla, left, wearing cuirass and paludamentum, holding spear pointed forwards and shield."
128,"Bare-headed bust of Caracalla, right, with short curly hair, wearing cuirass and paludamentum."
129,"Laureate bust of bearded Caracalla, right, seen from behind."
130,"Laureate bust of Caracalla, right, wearing cuirass with aegis on breastplate, holding spear over shoulder with left hand."
131,"Laureate bust of bearded Caracalla, right, wearing cuirass, holding spear over left shoulder with left hand."
132,"Laureate bust of Caracalla, right, wearing cuirass and paludamentum."
133,"Laureate bust of Caracalla, right, slight drapery on left shoulder. Border of dots."
134,"Laureate bust of youthful Caracalla, right, seen from behind, wearing cuirass and paludamentum."
135,"Laureate bust of Caracalla, right, wearing cuirass and paludamentum. Border of dots."
136,"Radiate bust of Caracalla, right, seen from behind, wearing cuirass and paludamentum."
137,"Radiate bust of bearded Caracalla, right."
138,"Laureate and radiate head of bearded Caracalla, right."
139,"Laureate head of bearded Caracalla, right. Border of dots."
140,"Radiate head of Caracalla, right. Border of dots."
141,"Emperor (Caracalla) receiving the apples of the Hesperides from Heracles; to left, bearded emperor (Caracalla) in military attire standing facing, head right, wearing cuirass and boots, resting right arm on long sceptre; to right, nude Herakles, standing left, holding the apples of the Hesperides in right hand, resting left arm on club; inbetween, lighted and garlanded altar. Ground line. Border of dots."
142,"The three Charites (or Nymphs?) standing facing, left one head right, middle and right one, head left; wearing long garments, left, holding jar in right hand, right in left hand; the middle holding jar in right hand and ears of corn in left hand."
143,"Three Charites (or Nymphs?) standing facing, left one, head right, middle and right ones, head left; wearing long garments; right and middle ones holding each other's shoulder, the left, holding the hand of the middle; left and right Charite (or Nymphs?) holding vases; in background, three trees."
144,"Three Charites (or Nymphs?) standing facing, left nymph, head right, middle facing, right nymph head left; wearing long garments; holding each others shoulders; left nymph holding spindel in right hand, the left and middle in the left hand."
145,"Three Charites (or Nymphs?) standing facing; left head right, middle and right head left, wearing long garments; holding each others shoulders, left and middle holding amphora in right hand; right nymph in left hand."
146,"The three Charites (or Nymphs?); outer standing facing, middle from the back, nude; left nymph, head left, middle head right, right head right; holding each others shoulder; outer ones hold vases."
147,"The three Charites (or Nymphs?) standing, nude; left facing, head left, middle from the back, head right, right facing, head right; holding each others shoulders; left nymph holding in right hand long fillet and right in left hand."
148,"Cista mystica with half-open lid on the left, out of which serpent creeps left. Border of dots."
149,"Cista mystica with half-open lid on the right, out of which serpent creeps right."
150,"founder as priest ploughing with two oxen, right."
151,"City gate with arched closed door, flanked by two crenellated towers, third crenellated tower rising from centre; the flanking towers have doors at the bottom and all three openings at the top."
152,"Closed city gate with straight lintel, flanked by two crenellated towers, third crenellated tower rising from center."
153,"Closed city gate, flanked by two round towers; above, figure standing in quadriga, right. Border of dots."
154,"City gate, flanked by two crenellated towers with conical roofs."
155,"City gate, flanked by two towers with conical roofs; above, gallery of three arches."
156,"Emperor (Caracalla) receiving agonistic crown from city goddess; to left, city goddess standing right, wearing high kalathos, holding agonistic crown in right hand and cornucopia in left arm; to right, emperor (Caracalla) in military attire, standing left, wearing cuirass and boots."
157,Upright club.
158,"Bare-headed bust of youthful Commodus, right, wearing paludamentum."
159,"Bare-headed bust of youthful Commodus, right, wearing cuirass and paludamentum."
160,"Bare-headed bust of Commodus, right, seen from front, wearing cuirass and paludamentum."
161,"Bare-headed bust of Commodus, right, wearing paludamentum."
162,"Bare-headed bust of lightly bearded Commodus, right, wearing cuirass and paludamentum."
163,"Bare-headed and draped bust of Commodus, right."
164,"Bust of Commodus, right, wearing cuirass and paludamentum. Border of dots."
165,"Laureate and draped bust of Commodus, right."
166,"Laureate bust of youthful Commodus, right, wearing cuirass and paludamentum."
167,"Laureate bust of youthful Commodus, right, wearing paludamentum."
168,"Laureate bust of Commodus, right, wearing cuirass and paludamentum."
169,"Laureate bust of Commodus, right, wearing paludamentum."
170,"Laureate bust of lightly bearded Commodus, right, wearing cuirass and paludamentum."
171,"Laureate bust of lightly bearded Commodus, right, wearing cuirass with traces of paludamentum."
172,"Laureate head of youthful Commodus, right."
173,"Laureate head of Commodus, right."
174,Grain within linear square.
175,Cornucopia.
176,Two crossed cornucopiae.
177,"Crescent; above, single star with eight rays. Border of dots."
178,"Crescent; above, single star with six rays. Border of dots."
179,"Confronted busts of youthful Commodus, wearing cuirass and paludamentum, and of Crispina diademed and draped."
180,"Inscribed and ornated prize crown, with five apples. Ground line. Border of dots."
181,"Cybele reclining left on lion advancing right, holding uncertain object in right hand."
182,"Turreted Cybele enthroned left, holding patera in outstretched right hand, left arm resting on back; at her feet, lion lying, left."
183,"Veiled and turreted Cybele enthroned left, holding patera in outstretched right hand, left arm resting on tympanon; at her feet, lion lying, left."
184,"Turreted Cybele enthroned left, holding patera in outstretched right hand, sceptre in left; throne legs ornamented."
185,"Cybele enthroned left, wearing calathus, holding patera in outstretched right hand over lion in front of her, seated left, resting left arm on tympanum."
186,"Turreted Cybele enthroned left, wearing long garment, holding patera in outstretched right hand, resting left arm on tympanum. Ground line."
187,"Veiled and turreted Cybele enthroned left, holding patera in outstretched right hand, left arm resting on tympanon; beside throne, lion lying left, second lion seen in background behind throne, lying left."
188,"Veiled and turreted Cybele enthroned left, holding patera in outstretched right hand, resting left arm on tympanum. Ground line."
189,"Turreted Cybele enthroned left, holding patera in outstretched right hand, resting left arm on drum; at her feet, two lions seated left. Ground line. Border of dots."
190,"Turreted Cybele seated left, on lion jumping right, holding tympanum in right hand, left resting on long sceptre."
191,"Girl dancing left, turning, wearing a short drifting chiton and a polos, raising her right arm, all within a shallow incuse square."
192,"Girl dancing right, turning, wearing a short drifting chiton and a polos, raising her left arm, all within a shallow incuse square."
193,"Demeter in biga of two winged serpents galloping right, holding long torches in each hand."
194,"Demeter standing right in biga, right, drawn by two winged serpents, wearing long garment, holding torch in each hand."
195,"Veiled and draped bust of Demeter, right, wearing corn wreath."
196,"Veiled and draped bust of Demeter, right, wearing corn wreath; in front two poppies."
197,"Head of Demeter facing, slightly right, hair in korymbos, wearing earrings and necklace."
198,"Veiled head of Demeter, right, wearing corn wreath."
199,"Veiled and draped bust of Demeter, right, wearing corn wreath, holding grain ear in raised left hand."
200,"Demeter enthroned left, holding patera in outstretched right hand, left resting on long torch."
201,"Demeter enthroned left between two torches, holding ears of corn in right hand, left resting on long torch."
202,"Demeter enthroned left, holding ears of corn in right hand, left resting on long torch (or sceptre?)."
203,"Demeter enthroned left, holding ears of corn in right hand, left resting on long torch."
204,"Veiled Demeter enthroned left, holding two ears of corn in right hand, left resting on long torch."
205,"Veiled Demeter seated left on cista mystica entwined by serpent, wearing corn wreath, holding two ears of corn in right hand, left resting on long torch."
206,"Veiled Demeter enthroned left, wearing corn wreath, holding two ears of corn in outstretched right hand, left resting on long torch. Ground line."
207,"Veiled Demeter seated left on basket, wearing corn wreath and long garment, holding two ears of corn in right hand, left resting on long torch."
208,"Veiled Demeter seated left on basket, wearing corn wreath, holding two ears of corn in right hand, left resting on long torch."
209,"Veiled Demeter standing facing, head left, holding ears of corn in raised right hand over altar, left resting on long torch."
210,"Veiled Demeter standing facing, head left, wearing corn wreath and long garment, holding two ears of corn in outstretched right hand, left resting on long torch."
211,"Demeter standing left, holding ears of corn and poppy in right hand and torch in left arm."
212,"Veiled Demeter standing facing, head left, holding two ears of corn in right hand over altar and short torch in left arm."
213,"Veiled Demeter standing facing, head left, wearing corn wreath and long garment, holding two ears of corn in right hand, left resting on sceptre. Short ground line. Border of dots."
214,"Demeter standing facing, head left, holding ears of corn in right hand, left resting on long torch."
215,"Demeter standing facing, head left, holding ears of corn in right hand and short torch in left arm."
216,"Veiled Demeter standing facing, head left, holding ears of corn in raised right hand, left resting on long torch."
217,"Veiled Demeter standing facing, head left, holding two ears of corn in right hand, left resting on long torch."
218,"Demeter standing facing, head left, holding patera in outstretched right hand over altar, left resting on long torch."
219,"Veiled Demeter standing facing, holding torch in each hand."
220,"Bare-headed and draped bust of Demos, right."
221,"Bare-headed bust of Diadumenian, right, wearing paludamentum. Border of dots."
222,"Bare-headed bust of youthful Diadumenian, right, wearing paludamentum."
223,"Dionysus and standing in galloping biga, right, wearing fluttering cloak, holding the reins in both hands; behind him Maenad standing right, holding an expanded veil in both hands."
224,"Head of Dionysus, left, wearing ivy wreath in linear square; all within shallow incuse square."
225,"Head of Dionysus, left, wearing ivy wreath."
226,"Head of (youthful) Dionysus, right, wearing ivy wreath and hair falling in long curls on neck and shoulder."
227,"Head of (youthful) Dionysus, right, wearing ivy wreath and three long curls falling on his neck."
228,"Head of (youthful) Dionysus, right, wearing ivy wreath with berries."
229,"Head of (youthful) Dionysus, right, wearing mitra and ivy wreath."
230,"Head of Dionysus, right, wearing mitra and ivy wreath."
231,"Dionysus seated right, holding an object in left hand and grape vine in right hand, which grows from the background in the right field."
232,"Dionysus reclining left on back of panther advancing right, holding thyrsus in right hand."
233,"Dionysus seated right on panther advancing right, holding long thyrsus in left arm, resting right arm on panther."
234,"Dionysus seated on panther advancing left, holding cantharus in right hand and filleted thyrsus in left arm. Ground line."
235,"Dionysus standing facing, head left, long head dress with knot at back, crossing right over left leg, holding long filleted and pilleted thyrsus in right hand and resting left arm with drapery on short column. Ground line."
236,"Nude Dionysus standing facing, head left, holding bunch of grapes in right hand, chlamys and two spears in left arm. Short ground line."
237,"Nude Dionysus standing facing, head left, holding bunch of grapes in right hand, chlamys and two spears in left arm. At both sides, two monograms."
238,"Youthful Dionysus standing facing, head left, holding cantharus in right hand over panther, seated left, head right, and long thyrsus in left arm."
239,"Dionysus standing facing, wearing short chiton and boots, holding cantharus in right hand over panther seated left and long filleted thyrsus in left arm."
240,"Nude youthful Dionysus standing facing, head left, chlamys over left shoulder, holding cantharus in right hand over panther seated left, head right, and filleted thyrsus in left arm."
241,"Nude youthful Dionysus standing left, crossing right over left leg, holding cantharus in right hand over panther, seated left, head right, long thyrsus in left arm, resting on column."
242,"Nude Dionysus standing facing, head left, holding bunch of grapes in right hand and two spears in left arm; in inner left and right field, monograms. Short ground line."
243,"Dionysus standing facing, head left, holding bunch of grapes in right hand and thyrsus in left arm, garment over left shoulder. Border of dots."
244,"Nude Dionysus standing facing, head left, wearing boots, holding cantharus in right hand over a panther seated left, head right, with raised forepaw; pelleted and filleted thyrsus in left arm; at left, star with six rays."
245,Dolphin swimming diagonally right and down within a double linear frame. All within a shallow incuse square.
246,Dolphin swimming diogonally left and down in dotted square; all within incuse square.
247,"Dolphin swimming left; above, two pellets above; below, three pellets below."
248,Dolphin swimming right.
249,"Dolphin swimming right; behind, trident to left."
250,"Inverted trident entwined by Dolphin, head downwards."
251,"Upright trident entwined by a dolphin, head upwards."
252,Dolphin swimming upwards.
253,"Two dolphins; upper to left, lower to right, ethnikon around; all within shallow incuse square."
254,Dolphin swimming right; between two tunnies swimming left.
255,Dolphin swimming right between two tunnies.
256,"Laureate head of Domitian, right."
257,"Eagle standing facing, head left, wings half-spread. Border of dots."
258,"Eagle standing facing on garlanded altar, head right, wings half-spread, between two standards."
259,"Eagle standing facing, slightly left, head right, wings spread, holding wreath in beak."
260,"Eagle standing facing, slightly left, on thunderbolt, head right, wings spread, holding wreath in beak."
261,"Eagle standing right on garlanded altar, wings spread, holding a wreath in beak."
262,"Eagle standing facing on thunderbolt, head left, wings spread."
263,"Eagle standing right on thunderbolt, head left, wings closed, holding wreath in beak."
264,"Eagle standing right on thunderbolt, wings closed."
265,Grain ear and grain corn below.
266,Ear of corn.
267,"Laureate bust of Elagabalus, right, wearing cuirass; gorgoneion on breastplate, holding spear with left hand over left shoulder."
268,"Laureate bust of Elagabalus, right; wearing cuirass with aegis on left shoulder, gorgoneion on breastplate."
269,"Laureate bust of Elagabalus, right, wearing cuirass and paludamentum. Border of dots."
270,"Laureate head of Elagabalus, right."
271,"Radiate and cuirassed bust of Elagabalus, right."
272,"Emperor (Lucius Verus) in military attire advancing right, wearing cuirass, fluttering paludamentum and boots, holding transverse spear in right hand, carrying trophy over left shoulder. Border of dots."
273,"Emperor (Severus Alexander) standing facing, head left, wearing cuirass, fluttering paludamentum and boots, holding patera in outstretched right hand and sceptre in left handE"
274,"Empress (Faustina II) as priestess standing facing, head left, holding patera in outstretched right hand over altar and short sceptre in left arm."
275,"Horse man galopping right, wearing fluttering cloak."
276,"Emperor (Elagabal) in military attire riding right on horseback, wearing cuirass and fluttering paludamentum, holding transverse spear in raised right hand."
277,"Emperor (Severus Alexander) in military attire riding right on horseback, wearing cuirass and fluttering paludamentum, holding transverse spear in right hand. Short ground line. Border of dots."
278,"Emperor (Philip the Arab) riding right on horseback, wearing cuirass, holding short sceptre in right arm."
279,"Emperor (Commodus) in military attire riding right on horseback, wearing cuirass, fluttering paludamentum and boots, holding transverse spear in right hand."
280,"Emperor (Caracalla) riding right on horseback, wearing cuirass, holding short sceptre in right arm."
281,"Emperor (Antoninus Pius) in military attire riding right on horseback, wearing cuirass, fluttering paludamentum and boots, holding short sceptre in right arm."
282,"Emperor (Caracalla) in military attire riding right on horseback, wearing cuirass, fluttering paludamentum and boots, holding spear horizontally in lowered right hand; in front, captive seated left with Phrygian cap and bound arms behind back."
283,"Emperor (Gordian) in military attire riding right on horseback, wearing cuirass and fluttering paludamentum, holding spear in right hand towards a captive in front of him."
284,"Nude Eros in attitude of Thanatos standing right, left leg crossed over right, leaning with right hand and left elbow on inverted lit torch. Ground line. Border of dots."
285,"Eros riding right on dolphin, holding reins in both hands; dolphin holding oar. Border of dots."
286,"Nude Eros in attitude of Thanatos standing left, legs crossed, leaning on upturned lit torch set on pile of rocks."
287,"Nude Eros in attitude of Thanatos standing left, legs crossed, resting on torch set on altar."
288,"Eros standing right, legs crossed, resting on anchor."
289,"Nude Eros in attitude of Thanatos standing right, legs crossed, resting on torch set on garlanded altar."
290,"Eros standing left, removing thorn from raised right paw of a lion standing right. Ground line. Border of dots."
291,"Diademed and draped bust of Faustina II, right."
292,"Draped bust of Faustina II, right, band of pearls in hair."
293,"Diademed and draped bust of Faustina II, right, wearing hair knot. Border of dots."
294,"Veiled and draped bust of Faustina II, right, wearing diadem."
295,"Veiled female goddess standing facing, head left, holding uncertain object in right hand and long sceptre in left hand."
296,"Diademed female head, right."
297,"Female head, left."
298,"Female head, left, wearing diadem and necklace."
299,"Female head (Artemis?) with fasten hair, left."
300,"Galley sailing left, on board, three rowers in front of two standards; on prow, another transverse standard."
301,"Galley, under full sail, sailing left; on stern, two standards."
302,"Galley sailing left, in waters; on board, eight rowers and emperor (Antoninus Pius) standing left, raising right arm, holding parazonium in left arm, in front of two standards."
303,"Emperor (Severus Alexander) with Isis (Pharia) and Serapis; in the middle, emperor (Severus Alexander) in military attire standing facing, head left, standing left ongalley, raising right arm, holding sceptre in left hand; to left, Isis (Pharia) standing left, inclining, wearing fluttering garment, holding sail in both hands; to right, bearded Serapis standing facing, head left, wearing kalathos, crowning emperor with laurel wreath in right hand, holding rudder in left hand; hull decorated with octopus to left, fish in the middle and dolphin to right, all swimming left. Border of dots."
304,"Galley sailing left, in waters; on board, four rowers and emperor (Geta) standing left, holding patera in outstretched right hand, left resting on spear, in front of two standards; in left field above mark of value Δ. Border of dots."
305,"Galley, under full sail, sailing right, eight rowers on board and helmsman seated on stern in front of two standards."
306,"Galley, under full sail, sailing right, in waters; on board, eight rowers."
307,"Galley sailing right; on board, rowers and helmsman in front of standards."
308,"Galley sailing right, on board, six rowers and helmsman in front of two standards."
309,"Laureate bust of Gallienus, left, wearing cuirass and paludamentum, holding spear in right hand and shield with gorgoneion in left arm. Border of dots."
310,"Radiate bust of Gallienus, right, seen from behind, wearing cuirass and paludamentum."
311,"Laureate head of Gallienus, right."
312,"Winged Genius standing left, wearing long garment, holding statuette of Tyche in right hand, standing facing, head left, wearing kalathos, and bow in right hand."
313,"Bare-headed bust of youthful Geta, right, wearing paludamentum."
314,"Bare-headed bust of Geta, right, wearing cuirass and paludamentum. Border of dots."
315,"Laureate bust of youthful Geta, right, wearing cuirass and paludamentum."
316,"Laureate bust of Geta, right, seen from behind, wearing cuirass and paludamentum."
317,"Laureate head of Geta, right."
318,"Radiate bust of bearded Geta, left, drapery on right shoulder."
319,Goat standing right; within incuse square.
320,"Goat standing right; to right below beard, amphora; all within incuse square."
321,"Goat standing right; right below, beard caduceus; all within incuse square. Ground line."
322,"Goat standing right; to right below beard, club."
323,"Goat standing right; to right below beard, corn stalk; all within incuse square."
324,"Goat standing right, below raised right forpaw, crab; all within incuse square."
325,"Goat standing right; to right below beard, garlanded throne; on this throne cult statue of Hermes (Perpheraios) to right, wearing petasus, with a small caduceus in front of him; all within incuse square."
326,"Goat standing right; to right below beard, hydria; all within incuse square."
327,"Goat standing right; to right below beard, cantharus; all within an incuse square."
328,"Goat standing right; to right below beard, laurel-branch."
329,"Goat standing right; to right below beard, owl standing right, head facing; all within incuse square."
330,"Goat standing right within linear square; outside of linear square, nude horned Pan standing right, raising right arm; all within incuse square."
331,"Goat standing right; to right below beard, vine tendril."
332,"Laureate bust of Gordian III, right, wearing cuirass, holding spear in left hand; gorgoneion on breastplate."
333,"Laureate bust of Gordian III, right, wearing cuirass, seen from front, slight drapery over left shoulder; gorgoneion on breastplate."
334,"Laureate bust of Gordian III, left, wearing cuirass and paludamentum, holding spear in right hand and shield decorated with eagle on left arm. Border of dots."
335,"Laureate bust of Gordian III, right, wearing cuirass and paludamentum. Border of dots."
336,"Laureate bust of Gordian III, right, seen from front, wearing cuirass and paludamentum."
337,"Laureate head of Gordian III, right."
338,"Confronted busts of Gordian III, laureate, wearing paludamentum, and of Tranquillina, diademed and draped."
